Designator,Footprint,Quantity,Value,LCSC Part #,LCSC Link
"C1, C18, C19, C20, C21, C26, C27, C28, C29, C30, C39",402,11,100nF,C1525,https://www.lcsc.com/product-detail/C1525.html
"C10, C11, C9",805,3,22uF,C129302,https://www.lcsc.com/product-detail/C129302.html
"C12, C13, C14, C3, C4, C6, C8",402,7,10uF,C7472949,https://www.lcsc.com/product-detail/C7472949.html
C15,402,1,2.2μF,C77002,https://www.lcsc.com/product-detail/C77002.html
"C16, C17",805,2,22μF,C129302,https://www.lcsc.com/product-detail/C129302.html
C2,805,1,47uF,C76636,https://www.lcsc.com/product-detail/C76636.html
"C22, C24",1210,2,100uF,C90143,https://www.lcsc.com/product-detail/C90143.html
C25,402,1,2.2uF,C77002,https://www.lcsc.com/product-detail/C77002.html
"C31, C32, C33, C34, C5",402,5,1uF,C52923,https://www.lcsc.com/product-detail/C52923.html
"C35, C36",402,2,6.8pF,C6376026,https://www.lcsc.com/product-detail/C6376026.html
"C37, C38",402,2,22pF,C1555,https://www.lcsc.com/product-detail/C1555.html
C7,805,1,47uF,C76636,https://www.lcsc.com/product-detail/C76636.html
CARD1,TF-SMD_DM3CS-SF,1,DM3C-SF,C3177034,https://www.lcsc.com/product-detail/C3177034.html
D1,402,1,Green LED,C130723,https://www.lcsc.com/product-detail/C130723.html
"J1, J3",PinHeader_2x03_P2.54mm_Vertical,2,PH2.54-2X3P-H25,C42431837,https://www.lcsc.com/product-detail/C42431837.html
J2,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,XY308-2.54-3P,C557686,https://www.lcsc.com/product-detail/C557686.html
L1,1008,1,1μH,C285919,https://www.lcsc.com/product-detail/C285919.html
L2,SMD_4.0x4.0mm,1,1.5uH,C5289323,https://www.lcsc.com/product-detail/C5289323.html
L3,1210,1,5.6uH,C5809216,https://www.lcsc.com/product-detail/C5809216.html
L4,L0603,1,FCM1608KF-601T03,C141723,https://www.lcsc.com/product-detail/C141723.html
"R1, R2",402,2,5.1K,C25905,https://www.lcsc.com/product-detail/C25905.html
R10,402,1,5.1k,C25905,https://www.lcsc.com/product-detail/C25905.html
R11,402,1,390,C25109,https://www.lcsc.com/product-detail/C25109.html
R12,2512,1,22Ω 1W RCBSET,C3921908,https://www.lcsc.com/product-detail/C3921908.html
"R13, R14, R15, R18, R19, R20, R21, R22, R23, R24, R4, R5, R6, R8",402,14,10k,C25744,https://www.lcsc.com/product-detail/C25744.html
R16,402,1,22k,C25768,https://www.lcsc.com/product-detail/C25768.html
R17,402,1,100k,C25741,https://www.lcsc.com/product-detail/C25741.html
R3,402,1,2.2k,C25879,https://www.lcsc.com/product-detail/C25879.html
R7,402,1,300,C25102,https://www.lcsc.com/product-detail/C25102.html
R9,402,1,30.1k,C5842805,https://www.lcsc.com/product-detail/C5842805.html
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477,https://www.lcsc.com/product-detail/C720477.html
U1,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322,https://www.lcsc.com/product-detail/C109322.html
U3,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,ICM-20948,C726001,https://www.lcsc.com/product-detail/C726001.html
U4,LGA-8_BME280_BL,1,BME280,C92489,https://www.lcsc.com/product-detail/C92489.html
U5,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,BQ25887RGET,C2862617,https://www.lcsc.com/product-detail/C2862617.html
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,LMR51430XDDCR,C5185863,https://www.lcsc.com/product-detail/C5185863.html
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,C118207,https://www.lcsc.com/product-detail/C118207.html
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186,https://www.lcsc.com/product-detail/C2765186.html
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006,https://www.lcsc.com/product-detail/C9006.html
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346,https://www.lcsc.com/product-detail/C32346.html
